2025-05-25 14:19:47,354 INFO    StreamThr :686644 [internal.py:wandb_internal():86] W&B internal server running at pid: 686644, started at: 2025-05-25 14:19:47.353605
2025-05-25 14:19:47,377 DEBUG   HandlerThread:686644 [handler.py:handle_request():144] handle_request: status
2025-05-25 14:19:47,409 INFO    WriterThread:686644 [datastore.py:open_for_write():85] open: /root/avatar_project/StyleFeatureEditor/wandb/run-20250525_141947-zomqu7uj/run-zomqu7uj.wandb
2025-05-25 14:19:47,413 DEBUG   SenderThread:686644 [sender.py:send():375] send: header
2025-05-25 14:19:47,569 DEBUG   SenderThread:686644 [sender.py:send():375] send: run
2025-05-25 14:19:47,593 INFO    SenderThread:686644 [sender.py:_maybe_setup_resume():761] checking resume status for None/sfe/zomqu7uj
2025-05-25 14:19:48,729 DEBUG   HandlerThread:686644 [handler.py:handle_request():144] handle_request: check_version
2025-05-25 14:19:48,761 INFO    SenderThread:686644 [dir_watcher.py:__init__():219] watching files in: /root/avatar_project/StyleFeatureEditor/wandb/run-20250525_141947-zomqu7uj/files
2025-05-25 14:19:48,761 INFO    SenderThread:686644 [sender.py:_start_run_threads():1124] run started: zomqu7uj with start time 1748153987.299398
2025-05-25 14:19:48,762 DEBUG   SenderThread:686644 [sender.py:send_request():402] send_request: summary_record
2025-05-25 14:19:48,762 INFO    SenderThread:686644 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2025-05-25 14:19:48,763 DEBUG   SenderThread:686644 [sender.py:send_request():402] send_request: check_version
2025-05-25 14:19:49,017 DEBUG   HandlerThread:686644 [handler.py:handle_request():144] handle_request: run_start
2025-05-25 14:19:49,062 DEBUG   HandlerThread:686644 [system_info.py:__init__():31] System info init
2025-05-25 14:19:49,062 DEBUG   HandlerThread:686644 [system_info.py:__init__():46] System info init done
2025-05-25 14:19:49,062 INFO    HandlerThread:686644 [system_monitor.py:start():181] Starting system monitor
2025-05-25 14:19:49,065 INFO    SystemMonitor:686644 [system_monitor.py:_start():145] Starting system asset monitoring threads
2025-05-25 14:19:49,069 INFO    HandlerThread:686644 [system_monitor.py:probe():201] Collecting system info
2025-05-25 14:19:49,077 INFO    SystemMonitor:686644 [interfaces.py:start():190] Started cpu monitoring
2025-05-25 14:19:49,085 INFO    SystemMonitor:686644 [interfaces.py:start():190] Started disk monitoring
